start	end	text
433000	439320	right to be more motherly and more loving listen dear this is a very happy baby how am I doing
439320	444280	woman papa you're just perfect for the part sniffing your performance was excellent
446520	458280	maybe I should add a part with some lines in it
463320	469160	look at these I think they might be ready by now I hope they're tasty they don't always come out
469160	476440	very well you're so kind we've had so much already but they smell really delicious they sure do
476440	482440	thank you so much now I feel warm again how about some more black currant juice or maybe one of these
482440	487720	freshly baked cookies it's very kind of you but no thank you I couldn't eat another thing I'm so
487720	498440	full up me too oh dear the party is over then I'm afraid so it's really sad but I have to
498440	503480	lock you up again but at least I know you're warm in there we're really sorry too but you don't
503480	509880	need to worry because actually we're not going back to jail oh aren't you we've got other plans
509880	516120	we're going to the theater to see my parents play and I suppose I should say hello to my Aunt Emma
516120	523800	who works there oh what shall I do my cousin will be very cross with me but you see we're innocent
523800	531400	we didn't do anything wrong you didn't I swear it do I look like someone who pulls up signs in a
531400	536680	park we just burned some flats and left by the flood but your cousin wouldn't believe it he
536680	543560	jumped to conclusions wrongful arrest that's all it was oh dear why didn't you tell me that it
543560	550120	once oh people shouldn't go to jail when they haven't done anything wrong so we can go to the
550120	555560	theaters that okay of course better leave right away my cousin will be very disappointed but I
555560	562120	guess I can't be helped wait for me I think I'd better come along and explain to that cousin of
562120	568360	mind that his three prisoners are innocent of the charge against them
569160	577080	all right all right bring it in that's right momma stop there okay sniff moment mama what have
577080	583080	you got there a baby's crib I want to use this in the play if that's all right with you
583080	589720	moment papa moment papa I just read your script and I think you have a big problem who is going
589720	595080	to pay the parts of moment and snorkemaiden in this play of yours I don't know yet we don't have
595080	601000	any more children and sniff can't take the part are you utterly mad we only have a few hours
601000	605880	before the curtain goes up and you don't even have actors for all the part what kind of director is
605880	610840	that maybe one of us could stand behind something and sort of read their line we did kill us
610920	620440	idea let's hope the credits are brown hold on tight all of you
625640	629160	listen kids you can be as noisy as you like out here but once we're at the
629160	638280	end or you have to be quiet you want to stand
651560	656200	the audience is waiting for us come
659960	662760	so
669160	674600	ladies and gentlemen thank you so much for giving up your valuable time in order to come to our show
674600	680760	tonight the world premiere of the lost children this is a brand new company the players never
680760	686840	been performed before ladies and gentlemen sit back and enjoy the superb acting what's that a
686840	692280	baby's cradle it's for you sniff for me we sincerely hope you'll be thrilled by the
692280	698280	originality of the plot and so now dear friends let's get started let's get started
701880	708040	come on come on come on
711080	714920	there's a good boy don't cry honey please don't cry
717640	723720	oh woman snork maiden my darling children you've been lost for a whole month and we haven't
723720	731720	heard a word from either of you oh he's forgotten all about me I'd give the whole world to be
731720	740840	rid of this most terrible agonizing despair oh make your husband try not to fret so I'm sure
740840	747160	they'll be back before very long little children come and free me from this plight your mother worries
747160	754120	all day through the babies awake go night come home come home my children to with all our hearts we're
754120	757960	missing you
759560	763560	louder sniff
763960	769640	but what's wrong with you sniff this rocket's making me sick oh dear in right in the middle of
769640	778680	movement poppers play oh mama let us set forth and find our loved ones we cannot leave our baby
778680	785080	here oh anyone would love to have him sweet little thing for how long pray do you think we
785080	791400	would be gone for as long as it takes I can no longer stand being this frightfully upset about my
791400	796200	children oh baby yeah
802760	813800	hurry up sniff I've seen two is about to start help me somebody I get out of here
813800	819000	when do they put the princess on we still have very far to go I'm afraid so hurry
819720	825640	I am hurrying it's for bitten it's for bitten it's for bitten why are you writing on that
825640	832280	yeah my cousin won't give up I'm sure so I better write this five thousand times it's for bitten it's
832280	842680	for bitten it's for bitten a full two weeks has passed oh what shall we do I dear children have
842680	850360	disappeared from the face of the earth oh what happened dear apple of my heart I think I
850360	856920	sprayed my hands really badly oh it hurts if you were in trouble apart from the wolves we're all
856920	865560	alone I'll put you out why was this happen in my theater I've been squeezed in here to make me look
865560	876840	smaller hell I'm trying to we can't have the land on stage without his behind we have to face
876840	882600	the worst and spend the night right here in the wilderness dear husband will it be all right
882600	891480	fairly in these unallowed woods I feel quite queasy sweet wife I too can smell those frightful beasts
891480	897240	howling for a blood may not just smell them dear now do you think that I can hear them now
900600	909000	I can hear the howling of those hungry beasts paint is the roar but I can make it out to lion
909000	925320	oh sniff what's up where are you going dear oh listen I have to go and stop that stupid lion who's
925320	931640	roaming around the countryside watching our every move hey don't worry I'll be right back my dear
932600	938040	was he supposed to say that hey what are you doing here you're supposed to be on stage
938040	943480	it's not my father stuck in his crib woman mama stuck on stage roll lion
946680	952840	that lion sounds very close my husband must be in great danger all right under that stage both of you
957960	960760	papa I can't get this thing off I feel sick
960760	970200	oh what are you doing woman papa you can do it with a cradle on sniff no I can't stop it please don't
970200	976840	do it woman papa don't laugh at me out there don't worry nobody knows it's you hiding in there come
976840	978840	on now all right
981800	985080	a lion a lion is this to be my most timely end
993080	994760	don't you dare laugh at me
995240	997240	oh
1001240	1003400	is that lion gonna eat moving mama
1005960	1009480	why do you do what should I do woman papa I'm scared
1011240	1015960	let's run off across the stage dear we were supposed to run off together
1016440	1020200	the situation has changed I'll have to come to your rescue some other time here
1025400	1027400	wow
1027400	1031800	oh please don't want to leave please oh now
1031800	1033800	everyone take that for me see
1043960	1049160	help me please someone come quickly before I get killed oh coming moving mama
1055080	1059080	oh
1062120	1065800	oh it's only snap little my I'm so glad you're all right
1067800	1073160	Shirley weren't worried about me moving mama well just a little maybe but you're such a lucky girl
1073160	1081400	I knew you'd manage mama mama I don't believe it mama it's me moment and it's me snorling in
1082040	1089320	mama mama move it snorkemaiden is it really you come here and let me see you
1092760	1098840	we've come back mama I was dying to see you oh it's wonderful to have you back
1099240	1105480	isn't that my face and Emma oh you look so grown up
1106680	1110760	and Emma so sorry to have missed your show but I have so much to tell you
1113480	1119800	hi everybody that was a great performance snorkeman I'm so glad to see you glad you say it moving
1120040	1122040	hey
1122920	1126360	those are my prisoners they've escaped from jail catch them
1128920	1134600	no cousin I let them out because they swear they're innocent they didn't pull up a single one of
1134600	1141480	those signs that's right I was the one who did that deliberately and I helped him very well
1141480	1145480	you're both under arrest
1146440	1153400	we were these pretzel children dear cousin it's forbidden it's forbidden
1154040	1159800	five thousand times that's what you wanted and are you sure there are five thousand oh yes quite
1159800	1168520	sure I've counted them one two three four now that we are all together again I would really like
1168520	1172520	to go back to movement valley what shall we do with all these little pests snuffed in
1173480	1178840	well little my someone might like to foster them you can leave them in my car sir
1179560	1185480	you always am odd yes now I have some acting experience I think I would like to start an acting
1185480	1191160	school exactly what this theater needs what a good idea do you think I would be too old to attend
1191160	1197080	perhaps character parts like in my play all is arranged for the best so now we can go home
1197320	1204920	it is moment papa I think it's high time quiet please I've lost my cap now I'll have to start again
1204920	1209480	right from the beginning moving papa do you think we should thank the audience for their
1209480	1218360	patience because they're still watching us you know oh you're right ladies and gentlemen
1218360	1224120	that's all for tonight I hope you have enjoyed the performance I think it was very kind of you
1224120	1241640	to stay to the very end sometimes I could almost believe the truth is strange and the fiction
1242600	1248520	well it is isn't it women papa no not really we writers are not better
1249160	1255560	all right more play what a very good idea women papa I think you're as good with plays as you
1255560	1261400	are with memoirs are you too right I'll start on the sequel as soon as we're all back home
1265800	1272520	there it is I lovely home at least I got a proper wash I've never seen it so clean what about
1273160	1280680	oh redecorated probably yeah let's go the movement family spent the whole of the following week
1280680	1286440	making their house cozy and comfortable and soon each carpet each cup and saucer and every
1286440	1292520	piece of furniture was back in its proper place once again
1302520	1311800	caring and giving the movements they're always happy and goes at play the
1311800	1327240	moments are having fun day after day the move is the move is
